gene	dEE	ASE	humallele	chpallele
A1BG	0.367045952461778	-0.198219401353576	362.25	415.75
A1CF	0.0321332908170266	-0.0477531314483681	51	52.75
A2M	0.0246893476673458	-0.0821834208613638	2012	2130
A2ML1	0.0713712198419429	-0.137503523749935	4	4.5
A3GALT2	0.660964047443681	-1.32192809488736	0.5	2.75
A4GALT	0.217321364675114	0.672335535563493	124.5	77.75
A4GNT	0.347288400597895	3.20163386116965	10.5	0.25
AAAS	0.146467845109781	-0.255988099869929	905.5	1081.5
AACS	0.0323647145058289	-0.0232697793228472	583.25	592.75
AADAC	0.686815101594544	0.234465253637023	24	20.25
AADACL3	0.0837157529008047	-0.321928094887362	0	0.25
AADACL4	0.6828305400441	1.93859945533586	4.75	0.5
AADAT	0.182286578878534	-0.490111491092077	284.5	400
AAGAB	0.0283838943239616	0.0129928384449604	361.5	358.25
AAK1	0.123501682326916	-0.1624689152611	737.25	825.25
AAMDC	0.411775448638278	0.302847353321658	168	136
AAMP	0.308634815314445	0.333311432494156	1669	1324.5
AANAT	0.188180118527181	-0.584962500721156	4	6.5
AARD	0.115091066260146	1.13750352374994	7.25	2.75
AARS2	0.221089268337545	0.537819517322013	356.5	245.25
AARSD1	0.104492718243555	-0.0786098346963663	436.5	461
AASDH	0.634984383935513	0.189761417096481	88.25	77.25
AASDHPPT	0.249235464994946	-0.358767256646743	505.5	648.5
AASS	0.245350581672944	1.08418460835131	1317.75	621
AATK	0.460137536947601	-0.143242066377846	597.75	660.25
ABAT	0.607971629782855	1.29888068048379	1264.25	513.25
ABCA1	0.311322464979703	-0.226172575577995	1632.5	1909.75
ABCA10	0.257166515107995	-1.29123129766445	18	45.5
ABCA12	0.422424618849432	-0.415037499278844	2.75	4
ABCA13	0.583659264181588	-1.32832586608551	10.25	27.25
ABCA2	0.098941402367032	-0.319059394475461	4429	5525.5
ABCA3	0.244405217006747	0.834030727390947	384.5	215.25
ABCA4	0.280510102617823	0.44930740136359	16.75	12
ABCA5	0.289470888368264	0.774118592583672	235	137
ABCA6	0.283966469780038	-0.42449782852791	8.5	11.75
ABCA7	1	-0.375573102365709	821.25	1065.75
ABCA8	0.139117191725203	-0.455929089977782	1564.25	2146
ABCA9	0.051522997242948	-0.150779952175609	146.5	162.75
ABCB1	0.116350194616896	-0.391321430305036	33.5	44.25
ABCB10	0.116774567748063	0.281487168858865	73.75	60.5
ABCB11	0.612297629624513	-2.05889368905357	5	24
ABCB4	0.372297955494573	-0.632942529622978	16.25	25.75
ABCB5	0.125491232312382	0.459431618637297	1.75	1
ABCB6	0.229051976791751	-0.773315521042875	532	910
ABCB7	0.108892437638816	-0.12003070370677	108.5	118
ABCB8	0.460837421798108	-0.0472930027448305	914.25	944.75
ABCB9	0.365073233221688	0.107285173155849	1049	973.75
ABCC1	0.250777052449748	-0.761551232444479	31	53.25
ABCC10	0.13482755617492	-0.110182917750423	581.75	628
ABCC11	0.240858393150515	0.415037499278844	4	2.75
ABCC12	0.108441315495989	-0.222392421336448	0.5	0.75
ABCC2	0.141682908747415	-0.438121112391885	107.5	146
ABCC3	0.00449868638839743	-0.01504388022445	118.25	119.5
ABCC4	0.332759479875977	-0.120887508133758	96.25	104.75
ABCC5	0.108616139519117	-0.0971205431803166	1463.75	1565.75
ABCC6	0.159122828612639	0.970046777898372	34.75	17.25
ABCC8	0.235476780197871	-1.88264304936184	3	13.75
ABCC9	0.0592749300142874	0.200232354732269	114.75	99.75
ABCD1	0.504642985672816	-0.0748317523933295	454.5	478.75
ABCD2	0.19346658518664	-0.910732661902913	5.25	10.75
ABCD3	0.392095336517562	-0.249044813528515	508.5	604.5
ABCD4	0.272361254177671	0.703222925642348	1474.5	905.25
ABCE1	0.170961774503457	-0.231099116687347	294	345.25
ABCF2	0.0977856871949113	-0.139349582915308	442.75	487.75
ABCF3	0.207088653887119	-0.241637488768473	616	728.5
ABCG1	0.237506718301771	-0.816909228770853	343	605
ABCG2	0.175833662430734	-0.507719501788696	104.5	149
ABCG4	0.218862920148605	0.401362562381767	86.5	65.25
ABCG5	0.0910014433304756	-1.11818142634831	9.25	21.25
ABCG8	0.3909114852044	0.567684509289321	19.75	13
ABHD1	0.19386304381532	-1	8.25	17.5
ABHD10	0.20140967601006	0.332575339086871	143.5	113.75
ABHD11	0.20551584167122	-0.469021021015351	128.5	178.25
ABHD12B	0.153653170650903	-0.625604485218502	7.75	12.5
ABHD13	1	0.036812665617727	128	124.75
ABHD14A	0.285642993608738	-0.452288894575416	496	679
ABHD14A-ACY1	0.234249220649739	-0.641038425127245	655	1022
ABHD14B	0.234884832854484	2.21375979001403	512.75	109.75
ABHD15	0.0463332569371788	-0.0558789918555536	176.25	183.25
ABHD17A	0.213048609635847	0.293380276285772	827.75	675.25
ABHD17B	0.827294431354267	0.104336659814736	181.75	169
ABHD17C	0.262208365588629	0.157828809631356	143.75	128.75
ABHD18	0.138852370258053	-0.201398913682625	199.25	229.25
ABHD2	0.160989981615976	0.0449190602516622	643.25	623.5
ABHD3	0.333159414072498	0.495365064226361	108.25	76.5
ABHD4	0.153082053741208	-0.464117935110107	949	1309.5
ABHD5	0.110589523314985	-0.250406797506044	113.75	135.5
ABHD6	0.302116583800747	1.14852252471009	91	40.5
ABHD8	0.225944781801042	-0.160464672193246	360.25	402.75
ABI1	0.186506203384132	0.104386511921407	360.75	335.5
ABI2	0.507083040891664	-0.0883578314149047	1823.75	1939
ABI3	0.578942318567225	-0.442641960673446	54	73.75
ABI3BP	1	1.61031807499805	214.25	69.5
ABL1	0.307722786763923	-0.104958011768432	2738.75	2945.5
ABL2	1	0.148253209192212	692.75	625
ABLIM1	0.0998907573678579	-0.164612141165007	3618.75	4056.25
ABLIM2	0.231753458556765	0.958352302641509	58.75	29.75
ABLIM3	0.0775867913351969	-0.303497389480175	176.25	217.75
ABO	0.129851493520502	-1.38811661895403	367.5	963.5
ABR	0.680889068161154	0.362570079384708	3.5	2.5
ABRA	0.480896695037549	0.441371647092306	31.25	22.75
ABRACL	0.285724039059029	0.484344535265854	398.75	284.75
ABRAXAS1	0.256365886271629	0.236508111323606	217.25	184.25
ABRAXAS2	0.290674815292708	-0.469684895206193	199.75	277
ABT1	0.264405726593438	0.574677898459636	470.75	315.75
ABTB1	0.224766653900024	-1.43472958546247	451.5	1222.25
ABTB2	0.162911620677306	0.0686323539602685	327.25	312
ACAA1	0.346236805331667	-0.306759976997751	854.75	1057.5
ACAA2	0.232916056849613	-0.163193969748023	506.25	567
ACACA	0.376401419893114	0.255944981047474	100.5	84
ACACB	0.360306285246097	0.134972506579138	1152.25	1049.25
ACAD10	0.164955317593427	0.777194376586865	871.75	508.25
ACAD11	0.140523969271299	0.352591745375889	554.75	434.25
ACAD8	0.15665543511606	0.504792152037173	392.75	276.5
ACAD9	0.111103592889389	-0.0438070348040628	501.75	517.25
ACADL	0.308580883488159	0.166009951438929	10.5	9.25
ACADM	0.199148062762063	0.71352218095461	248.25	151
ACADS	0.280476294411982	0.145444896615013	377	340.75
ACADSB	0.126815759845812	0.0831201739050397	579.5	547
ACADVL	0.335232221057181	0.122889529231379	5133.5	4714.25
ACAN	0.151879740798355	0.242074787198148	29.75	25
ACAP1	0.253118131733219	0.383328639551506	96.5	73.75
ACAP2	0.153810598069144	-0.0920240054697121	393.75	419.75
ACAP3	0.273061125005569	0.696349200484745	912.5	562.75
ACAT1	0.195293090223318	-0.0213105062454122	167	169.5
ACAT2	0.132620055023032	-0.222392421336448	479	559
ACBD3	0.16744021982019	0.0250574575916379	565.25	555.5
ACBD4	0.269747466301161	0.0711610289212389	139.25	132.5
ACBD5	0.0761508382103423	-0.0526551803536701	342	354.75
ACBD6	0.384600908309806	0.212766673863169	721	622
ACBD7	0.259682632005116	2.64134497061867	70.75	10.5
ACCS	0.164968254242229	1.47418707606648	1252	450
ACCSL	0.353376539422104	0.584962500721156	0.5	0
ACD	0.0420458250541588	0.0428238999254829	400.75	389
ACE	0.307910236195632	0.171855028540712	139.25	123.5
ACE2	0.405963247482742	0.472068444315223	20.5	14.5
