gene	dEE	ASE	humallele	chpallele
A1BG	0.0726267101665949	-0.0392213097977186	126	129.5
A1CF	0.691977592155993	-1.02834462569396	125	256
A2M	0.476416639574407	-1.58584786131408	134.75	406.5
A2ML1	0.208327284238693	-0.401362562381767	12.25	16.5
A3GALT2	0	0	0.25	0.25
A4GALT	0.17311352163486	0.631979127222644	123.75	79.5
A4GNT	0.321678157126008	2.64385618977472	5.25	0
AAAS	0.274556506281722	-0.488835038159728	754	1058.5
AACS	0.422229408607572	-0.303577068790301	940.5	1161
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0.796725231677407	-2.52356195605701	0	4.75
AADACL4	0.146188156089225	0.415037499278844	1	0.5
AADAT	0.242923482893777	-0.69440806037331	589	953.75
AAGAB	0.311854363800239	0.203404320956145	1099.75	955
AAK1	0.360677153113149	-0.54152696152303	704.25	1025.5
AAMDC	0.209687211098337	0.125219385798316	104.25	95.5
AAMP	0.0807310859827801	0.0935665424477799	1472	1379.5
AANAT	0.290449146553155	-1	1.25	3.5
AARD	0.222969442795264	2.05889368905357	5.25	0.5
AARS2	0.215296004140064	0.552460607486221	597	406.75
AARSD1	0.157568896133315	-0.146073220992615	529.25	585.75
AASDH	0.47902993018	-0.152415233153863	174	193.5
AASDHPPT	0.238761929714545	-0.308643315758496	664.5	823.25
AASS	0.140299526967455	0.619047770055221	2520.5	1640.75
AATK	0.100809190477078	0.038853249056463	384.75	374.5
ABAT	1	-0.314371874631201	267	332.25
ABCA1	0.83287862427942	0.426752447804842	1709.5	1271.5
ABCA10	0.117807226339449	-0.415037499278844	2	3
ABCA12	0.577575381150568	-0.567475073992315	19.75	29.75
ABCA13	0.0629960200377312	0.207595419408367	23.25	20
ABCA2	0.30613681017388	-0.985930027580713	2034	4029.5
ABCA3	0.263448437672352	0.914299276923105	950.75	504
ABCA4	0.325727690974335	0.520832163301441	15.5	10.5
ABCA5	0.271656598203814	0.857143241755858	133.5	73.25
ABCA6	0.19585541823046	-0.292781749227846	9	11.25
ABCA7	0.138354578288346	0.186530843879399	4119.5	3619.75
ABCA8	0.228242242722854	-1.06054154193505	7.75	17.25
ABCA9	0.0392128205937149	-0.0874628412503394	3	3.25
ABCB1	0.127558325314813	-0.321928094887362	1	1.5
ABCB10	0.184098223919004	0.36199848863203	179.25	139.25
ABCB11	0.0573689328522145	-0.263034405833794	0.25	0.5
ABCB4	0.413862924794505	-0.703606997219775	16.5	27.5
ABCB5	0.449660286786792	-0.263034405833794	0.25	0.5
ABCB6	0.2330163934167	-0.883082248220849	667	1231
ABCB7	0.227999273515666	-0.248733842282989	163.75	194.75
ABCB8	0.124524675982166	0.0814358387093106	846.25	799.75
ABCB9	0.394418082120225	-0.1036404816377	999.25	1073.75
ABCC1	0.0912614216001414	-0.274794119296267	55	66.75
ABCC10	0.113897880913009	-0.0994058705870507	1295.75	1388.25
ABCC11	0.241395848355978	0.362570079384708	3.5	2.5
ABCC12	0.497882365437201	-1.02106161552783	7.5	16.25
ABCC2	1	0.0911478880581954	23.5	22
ABCC3	0.318868209268257	-1.39733549754538	9.25	26
ABCC4	0.202403499772916	-0.242400438399919	656.25	776.5
ABCC5	0.557574422277961	-0.479322325646706	1673.75	2333.75
